Timestamp, CPU Usage (%), Memory Usage (%), Disk Usage (%)
1686293784, 12.1, 96.1, 76.8
1686294652, 4.3, 96.1, 76.8
1686294658, 9.3, 96.0, 76.8
1686295514, 4.2, 95.9, 76.8
1686296388, 16.7, 95.9, 76.8
1686297243, 44.2, 95.8, 76.8
1686298125, 33.3, 95.9, 76.8
1686298131, 15.9, 95.8, 76.8
1686298982, 5.2, 96.0, 76.8
1686299836, 37.0, 96.1, 76.8
1686299842, 16.8, 96.0, 76.8
1686300038, 22.7, 96.2, 76.8
1686300044, 11.5, 96.1, 76.8
1686300050, 5.5, 95.9, 76.8
1686300056, 4.9, 95.9, 76.8
1686300062, 5.6, 95.4, 76.8
1686300068, 19.8, 95.3, 76.8
1686300074, 6.1, 95.3, 76.8
1686300080, 7.4, 95.6, 76.8
1686300086, 3.6, 95.6, 76.8
1686300092, 18.1, 95.5, 76.8
1686300098, 34.5, 95.4, 76.8
1686300104, 3.7, 95.4, 76.8
1686300110, 29.3, 96.2, 76.8
1686300116, 5.9, 95.5, 76.8
1686300122, 16.3, 95.0, 76.8
1686300128, 7.1, 95.1, 76.8
1686300134, 13.9, 95.1, 76.8
1686300140, 9.7, 95.2, 76.8
1686300146, 24.1, 96.2, 76.8
1686300152, 10.7, 96.2, 76.8
1686300158, 16.4, 93.9, 76.8
1686300164, 3.6, 94.0, 76.8
1686300170, 20.2, 94.5, 76.8
1686300176, 6.1, 94.5, 76.8
1686300182, 7.1, 94.5, 76.8
1686300188, 12.3, 93.8, 76.8
1686300194, 38.5, 96.1, 75.9
1686300200, 11.7, 96.0, 75.9
1686300206, 19.6, 96.2, 75.9
1686300212, 27.0, 96.2, 75.9
1686300218, 25.4, 95.9, 75.9
1686300224, 8.9, 96.0, 75.9
1686300230, 14.8, 95.6, 75.9
1686300236, 9.7, 95.5, 75.9
1686300242, 25.7, 96.0, 75.9
1686300248, 13.8, 96.0, 75.9
1686300254, 36.3, 96.0, 75.9
1686300260, 20.5, 96.2, 75.9
1686300266, 29.9, 96.2, 76.4
1686300272, 20.6, 95.9, 76.4
1686300278, 17.4, 95.7, 76.4
1686300284, 15.8, 95.9, 76.4
1686300290, 13.5, 95.8, 76.4
1686300296, 17.6, 95.8, 76.4
1686300302, 42.1, 96.2, 76.4
1686300308, 15.5, 96.0, 76.4
1686300314, 34.4, 96.2, 76.4
1686300320, 29.9, 96.2, 76.4
1686300326, 9.8, 96.1, 76.4
1686300332, 86.9, 96.2, 76.8
1686300338, 20.0, 95.5, 76.8
1686300344, 20.1, 95.7, 76.8
1686300350, 17.6, 96.0, 76.8
1686300356, 21.8, 96.3, 76.8
1686300362, 22.7, 96.2, 76.8
1686300368, 19.8, 95.9, 76.8
1686300374, 37.6, 96.1, 76.8
1686300380, 53.2, 95.9, 76.8
1686300387, 18.1, 95.1, 76.8
1686300393, 15.1, 94.9, 76.8
1686300399, 16.0, 95.8, 76.8
1686300405, 82.7, 96.2, 76.8
1686300411, 24.6, 96.2, 76.8
1686300417, 91.6, 96.2, 77.2
1686300423, 52.1, 96.2, 77.2
1686300429, 44.9, 96.1, 77.2
1686300435, 31.5, 96.4, 77.2
1686300441, 23.0, 96.2, 77.2
1686300447, 38.3, 96.2, 77.2
1686300453, 19.5, 96.3, 77.2
1686300459, 27.8, 96.1, 77.2
1686300465, 27.2, 96.3, 77.2
1686300471, 22.8, 96.2, 77.2
1686300477, 21.8, 96.2, 77.2
1686300483, 36.2, 96.3, 77.7
1686300489, 17.6, 95.9, 77.7
1686300495, 35.5, 96.2, 77.7
1686300501, 33.6, 96.2, 77.7
1686300507, 48.2, 96.2, 77.7
1686300513, 21.2, 96.2, 77.7
1686300519, 19.0, 96.1, 77.7
1686300525, 6.6, 95.7, 77.7
1686300531, 6.5, 96.2, 77.7
1686300537, 9.7, 96.2, 77.7
1686300543, 8.9, 96.2, 77.7
1686300549, 15.0, 96.3, 77.7
1686300555, 21.8, 96.2, 77.7
1686300561, 11.1, 96.1, 77.7
1686300567, 6.5, 96.0, 77.7
1686300573, 24.4, 96.2, 77.7
1686300579, 11.7, 96.3, 77.7
1686300585, 19.6, 96.2, 77.7
1686300591, 42.1, 96.3, 77.7
1686300597, 49.2, 96.3, 78.1
1686300603, 26.3, 96.2, 78.6
1686300609, 21.4, 96.2, 78.6
1686300615, 13.9, 96.0, 78.6
1686300621, 40.2, 96.1, 78.6
1686300627, 31.9, 96.2, 78.6
1686300633, 37.1, 96.2, 78.6
1686300639, 34.8, 96.2, 79.0
1686300645, 17.6, 96.2, 79.0
1686300651, 34.8, 96.2, 79.0
1686300657, 11.8, 96.1, 79.0
